SystemId,URL,FIELD,INDEX,LEVEL,VALUE
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,PeopleAlsoAsk_Box,0,1.1,
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,PeopleAlsoAsk_Box,1,1.2,
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,PeopleAlsoAsk_Box,2,1.3,
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,PeopleAlsoAsk_Box,3,1.4,
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,PeopleAlsoAsk_QuestionText,0,1.1.1.1,What pickups does Nissan make?
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,PeopleAlsoAsk_QuestionText,1,1.2.1.1,Why is Nissan discontinuing the Titan?
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,PeopleAlsoAsk_QuestionText,2,1.3.1.1,What is Nissan's midsize pickup?
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,PeopleAlsoAsk_QuestionText,3,1.4.1.1,What is the most common problem with a Nissan Frontier?
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,PeopleAlsoAsk_QuestionLandingLink,0,1.1.2.1,https://www.nissanusa.com/vehicles/trucks.html
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,PeopleAlsoAsk_QuestionLandingLink,1,1.2.2.1,"https://www.topspeed.com/nissan-titan-pickup-truck-dead-after-2024/#:~:text=Nissan's%20decision%20to%20discontinue%20the,sales%20declining%20in%20recent%20years."
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,PeopleAlsoAsk_QuestionLandingLink,2,1.3.2.1,https://www.nissanusa.com/vehicles/trucks/frontier.html#:~:text=2024%20Nissan%20Frontier&text=Mid%2Dsize%20Pickup%20Truck
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,PeopleAlsoAsk_QuestionLandingLink,3,1.4.2.1,http://www.nissanproblems.com/models/frontier/
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,PeopleAlsoAsk_BoxPixel,0,1.1.3.1,"[x:230.00,y:438.00,w:652.00,h:48.00]"
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,PeopleAlsoAsk_BoxPixel,1,1.2.3.1,"[x:230.00,y:486.00,w:652.00,h:48.00]"
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,PeopleAlsoAsk_BoxPixel,2,1.3.3.1,"[x:230.00,y:534.00,w:652.00,h:48.00]"
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,PeopleAlsoAsk_BoxPixel,3,1.4.3.1,"[x:230.00,y:582.00,w:652.00,h:48.00]"
